MST Network Connections
Source Village,Destination Village,Distance (km)
Village_14,Village_95,1.12872
Village_56,Village_92,1.40872
Village_19,Village_57,1.50217
Village_73,Village_87,1.66244
Village_8,Village_93,1.74771
Village_25,Village_64,1.79889
Village_68,Village_93,2.37076
Village_85,Village_88,2.39207
Village_4,Village_53,2.46089
Village_78,Village_89,2.4713
Village_10,Village_34,2.55807
Village_36,Village_80,2.94272
Village_17,Village_49,2.9473
Village_94,Village_98,3.02881
Village_3,Village_27,3.26124
Village_48,Village_50,3.38498
Village_52,Village_91,3.68513
Village_2,Village_83,3.70034
Village_40,Village_43,3.88125
Village_24,Village_75,4.11096
Village_15,Village_59,4.12311
Village_13,Village_49,4.16515
Village_11,Village_13,4.19749
Village_47,Village_97,4.24689
Village_7,Village_23,4.37403
Village_6,Village_69,4.38456
Village_65,Village_69,4.41192
Village_41,Village_77,4.52399
Village_42,Village_45,4.57823
Village_68,Village_82,4.81386
Village_4,Village_44,5.01638
Village_11,Village_90,5.04267
Village_39,Village_98,5.08317
Village_26,Village_47,5.10035
Village_48,Village_100,5.12106
Village_32,Village_66,5.13697
Village_46,Village_55,5.17159
Village_9,Village_84,5.2161
Village_42,Village_74,5.46245
Village_18,Village_97,5.49324
Village_7,Village_31,5.55267
Village_46,Village_54,5.60972
Village_26,Village_98,5.87187
Village_13,Village_77,5.91934
Village_24,Village_43,5.96525
Village_83,Village_97,6.01879
Village_67,Village_76,6.04273
Village_22,Village_71,6.13685
Village_14,Village_76,6.27717
Village_48,Village_92,6.48427
Village_17,Village_53,6.49825
Village_18,Village_70,6.94761
Village_60,Village_93,7.58845
Village_6,Village_30,7.62053
Village_20,Village_21,7.89068
Village_21,Village_88,7.95493
Village_51,Village_86,8.00068
Village_14,Village_71,8.16008
Village_68,Village_96,8.2331
Village_30,Village_86,8.41749
Village_63,Village_100,8.44707
Village_12,Village_50,8.59824
Village_36,Village_70,8.67744
Village_16,Village_79,8.76233
Village_65,Village_73,8.76482
Village_61,Village_85,8.88262
Village_16,Village_84,8.88654
Village_24,Village_32,8.96177
Village_52,Village_63,8.97001
Village_27,Village_37,9.2264
Village_15,Village_60,9.49027
Village_38,Village_59,9.57632
Village_9,Village_82,9.62198
Village_12,Village_90,9.66843
Village_29,Village_31,9.69013
Village_58,Village_62,9.73415
Village_37,Village_91,9.92868
Village_44,Village_85,10.0835
Village_5,Village_66,10.1285
Village_33,Village_70,10.3047
Village_5,Village_26,10.3887
Village_28,Village_34,10.4197
Village_54,Village_99,10.4326
Village_31,Village_74,10.7087
Village_38,Village_64,10.8717
Village_42,Village_78,10.9891
Village_29,Village_76,11.194
Village_3,Village_5,11.4332
Village_1,Village_72,11.7056
Village_9,Village_89,11.9204
Village_35,Village_96,11.9733
Village_35,Village_57,12.0885
Village_20,Village_81,12.2947
Village_10,Village_65,12.3236
Village_51,Village_99,12.7385
Village_35,Village_75,12.8141
Village_2,Village_58,12.8547
Village_57,Village_72,13.3063
Village_23,Village_87,14.5015

Total Cable Length (km),696.661
